dataName,friendlyName,orgType,tier,homeRegionMapTemplateName,randomized,takeoverDefense,allowedOnMarket,requiresNationality,requiredOwnerTraits/0,affinities/0,restricted/0,costMoney,costInfluence,costOps,chanceIncomeMoney,incomeMoney,chanceIncomeInfluence,incomeInfluence,chanceEspionage,espionage,chanceSecurity,security,chanceSpoilsBonus,spoilsBonus,iconResource,chanceIncomeOps,incomeOps,chanceInvestigation,investigation,chanceOppressionBonus,oppressionBonus,missionsGrantedNames/0,missionsGrantedNames/1,missionsGrantedNames/2,missionsGrantedNames/3,chanceCommand,command,minScenarioYear,chanceIncomeResearch,incomeResearch,chanceSpaceDevBonus,spaceDevBonus,chanceSpaceflightBonus,spaceflightBonus,chanceMCBonus,MCBonus,chanceMiningBonus,miningBonus,techBonuses/0/category,techBonuses/0/bonus,affinities/1,restricted/1,restricted/2,restricted/3,chancePersuasion,persuasion,grantsMarked,chanceAdministration,administration,chanceScience,science,chanceUnityBonus,unityBonus,chanceKnowledgeBonus,knowledgeBonus,prohibitedOwnerTraits/0,projectsGranted,chanceMilitaryBonus,militaryBonus,chanceIncomeMissionControl,incomeMissionControl,chanceEconomyBonus,economyBonus,chanceIncomeBoost,incomeBoost,chanceEnvironmentBonus,environmentBonus,chanceWelfareBonus,welfareBonus,restricted/4,restricted/5,restricted/6,randCostMoney,randIncomeMoney,requiredTechName,randOppressionBonus,randIncomeOps,randCostInfluence,randCommand,randEspionage,randMilitaryBonus,randSpaceflightBonus,randMCBonus,randIncomeBoost,randIncomeMissionControl,randIncomeResearch,randSpaceDevBonus,randScience,randAdministration,randInvestigation,randSecurity,randIncomeInfluence,randEconomyBonus,randSpoilsBonus,randKnowledgeBonus,randWelfareBonus,randUnityBonus,randPersuasion,chanceGovernmentBonus,governmentBonus,randGovernmentBonus,randCostOps,randEnvironmentBonus,costBoost,randCostBoost,randMiningBonus,affinities/2
InformaciosHivatal,Információs Hivatal,Security,1,map_Hungary,false,6,true,true,Government,,,,100,,100,-5,,,100,1,100,1,,,orglogos/InformaciosHivatal,100,1,100,1,,,InvestigateCouncilor,DetectCouncilActivity,,,,,1990,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlkotmanyvedelmiHivatal,Alkotmányvédelmi Hivatal,Security,1,map_Hungary,false,6,true,true,Government,,,,100,,100,-3,100,1,100,1,100,1,,,orglogos/AlkotmanyvedelmiHivatal,100,2,100,1,,,InvestigateCouncilor,DetectCouncilActivity,Detain,,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9Para,9 Para,Security,2,map_Hyderabad,false,,true,true,Government,,,,150,,100,-2,,,,,100,2,,,orglogos/9PARA,100,2,,,,,AssaultAlienAsset,Extract,,,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mossad,Mossad,Security,3,map_Israel,false,6,true,true,Government,,Submit,,300,,100,-75,100,1,100,3,100,3,,,orglogos/Mossad,100,3,100,1,,,Assassinate,Unrest,Coup,Crackdown,100,1,,,,,,,,,,,,,,,,,,100,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShinBet,Shin Bet,Security,2,map_Israel,false,6,true,true,Government,,,,250,,100,-35,100,1,,,100,2,,,orglogos/ShinBet,100,2,100,3,,,InvestigateCouncilor,DetectCouncilActivity,Detain,Crackdown,,,1949,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SayeretMatkal,Sayeret Matkal,Security,2,map_Israel,false,,true,true,Government,,,,120,,100,-1,,,100,1,100,1,,,orglogos/SayeretMatkal,100,2,,,,,Extract,DetectCouncilActivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shayetet13,Shayetet 13,Security,1,map_Israel,false,,true,true,Government,Destroy,,,120,,100,-1,,,,,100,2,,,orglogos/Shayetet13,100,2,,,,,Extract,Protect,AssaultAlienAsset,,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AgenziaInformazionieSicurezzaEsterna,Agenzia Informazioni e Sicurezza Esterna,Security,2,map_Italy,false,6,true,true,Government,,,,180,,100,-15,,,100,2,100,1,,,orglogos/AgenziaInformazionieSicurezzaEsterna,100,2,100,1,,,InvestigateCouncilor,DetectCouncilActivity,Detain,,,,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArmadeiCarabinieri,Arma dei Carabinieri ,Investigations,2,map_Italy,false,4,true,true,Government,,,,75,,100,-2,,,,,100,2,,,orglogos/Carabinieri,100,1,100,2,,,InvestigateCouncilor,Stabilize,,,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Criminal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BadanIntelijenNegara,Badan Intelijen Negara,Security,2,map_Java,false,6,true,true,Government,,,,150,,100,-10,,,100,1,100,1,,,orglogos/BadanIntelijenNegara,100,1,100,1,,,InvestigateCouncilor,DetectCouncilActivity,Detain,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NationalCyberandCryptoAgency,National Cyber and Crypto Agency,Security,2,map_Java,false,6,true,true,Government,Resist,,,150,,100,-5,,,,,,,,,orglogos/NationalCyberandCryptoAgency,,,100,2,100,0.02,InvestigateCouncilor,DetectCouncilActivity,,,,,2017,,,,,,,,,,,,,Exploit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kopassus,Kopassus,Security,1,map_Java,false,,true,true,Government,Destroy,Cooperate,,100,,100,-1,,,,,100,1,,,orglogos/KopassusIndonesia,100,1,,,,,AssaultAlienAsset,Extract,,,,,,,,,,,,,,,,,,,Escape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denjaka,Denjaka,Security,1,map_Java,false,,true,true,Government,,,,100,,100,-1,,,,,100,1,,,orglogos/DenjakaIndonesia,100,1,,,,,AssaultAlienAsset,Extract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StateSecurityAgency,State Security Agency,Security,2,map_Johannesburg,false,6,true,true,Government,,,,180,,100,-10,,,,,100,2,,,orglogos/StateSecurityAgency,100,2,100,2,100,0.02,InvestigateCouncilor,DetectCouncilActivity,Detain,,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeneralIntelligenceDepartment,General Intelligence Department,Security,1,map_Jordan,false,6,true,true,Government,,,,100,,100,-3,100,1,100,1,100,1,,,orglogos/GeneralIntelligenceDepartment,100,2,100,1,,,InvestigateCouncilor,DetectCouncilActivity,Detain,,,,1964,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DepartmentofStateServices,Department of State Services,Security,2,map_Kano,false,6,true,true,Government,,,,150,,100,-8,,,100,1,100,2,,,orglogos/DepartmentofStateServices,100,1,100,2,100,0.03,InvestigateCouncilor,DetectCouncilActivity,Detain,,,,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,Criminal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NationalSecurityIntelligenceService,National Security Intelligence Service,Investigations,1,map_Kenya,false,3,true,true,Government,,,,75,,100,-3,,,,,100,1,,,orglogos/NSIS_Kenya,100,1,100,1,100,0.01,DetectCouncilActivity,InvestigateCouncilor,,,,,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SecurityServiceofUkraine,Security Service of Ukraine,Security,2,map_Kiev,false,6,true,true,Government,,,,200,,100,-20,,,100,1,100,2,,,orglogos/SecurityServiceofUkraine,100,2,100,2,100,0.03,InvestigateCouncilor,DetectCouncilActivity,Detain,,,,1991,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agencenationalederenseignements,Agence nationale de renseignements,Security,2,map_Kinshasa,false,6,true,true,Government,,,,165,,100,-5,100,1,100,1,100,2,,,orglogos/Agencenationalederenseignements,100,1,100,1,,,InvestigateCouncilor,DetectCouncilActivity,Detain,,,,1997,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hezbollah,Hezbollah,Security,3,map_Lebanon,false,4,true,true,Government,Destroy,Cooperate,,250,,,,100,1,100,2,100,3,,,orglogos/Hezbollah,100,3,,,,,Assassinate,Unrest,SabotageFacilities,AssaultAlienAsset,100,1,,,,,,,,,,,,,,,Escape,Appease,,,,true,100,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NationalIntelligenceCoordinatingAgency,National Intelligence Coordinating Agency,Security,1,map_Luzon,false,6,true,true,Government,,,,100,,100,-2,,,100,1,100,1,,,orglogos/NationalIntelligenceCoordinatingAgency,100,1,100,1,,,InvestigateCouncilor,DetectCouncilActivity,,,,,1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interpol,Interpol,Investigations,2,map_Lyon,false,3,true,false,Government,,,,150,,100,-4,,,,,100,2,,,orglogos/Interpol,100,1,100,2,,,InvestigateCouncilor,DetectCouncilActivity,Crackdown,Detain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Criminal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MalaysianExternalIntelligenceOrganisation,Malaysian External Intelligence Organisation,Security,2,map_MalayPeninsula,false,6,true,true,Government,,,,150,,100,-8,,,100,2,100,1,,,orglogos/MalaysianExternalIntelligenceOrganisation,100,1,100,1,,,InvestigateCouncilor,DetectCouncilActivity,,,,,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MalaysianSpecialBranch,Malaysian Special Branch,Security,1,map_MalayPeninsula,false,6,true,true,Government,,,,100,,100,-3,,,100,1,100,2,,,orglogos/MalaysianSpecialBranch,100,1,100,1,100,0.02,InvestigateCouncilor,DetectCouncilActivity,Detain,,,,1948,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NationalIntelligenceCentre,National Intelligence Centre,Security,2,map_MexicoCity,false,5,true,true,Government,,,,160,,100,-4,,,,,100,2,,,orglogos/CNI_Mexico,100,2,100,1,,,InvestigateCouncilor,Protect,,,,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JemaahIslamiyah,Jemaah Islamiyah,Criminal,1,map_MoluccasandSulawesi,false,,true,true,Sociopath,Destroy,Resist,,80,5,,,,,100,1,100,1,,,orglogos/JemaahIslamiyah,100,1,,,,,Unrest,SabotageFacilities,,,,,,,,,,,,,,,,,,,Cooperate,Escape,Appease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SinaloaCartel,Sinaloa Cartel,Criminal,3,map_Monterrey,false,-3,true,true,Criminal,Exploit,Cooperate,80,100,20,100,80,100,1,100,1,100,2,100,0.05,orglogos/SinaloaCartel,100,2,,,,,Assassinate,Detain,,,,,,,,,,,,,,,,,,,Escape,,,,,true,100,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GulfCartel,Gulf Cartel,Criminal,2,map_Monterrey,false,-2,true,true,Criminal,Exploit,Cooperate,50,50,20,100,40,100,1,100,1,100,2,100,0.04,orglogos/GulfCartel,100,1,,,,,Assassinate,Detain,,,,,,,,,,,,,,,,,,,Escape,,,,,true,100,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LosZetas,Los Zetas,Criminal,2,map_Monterrey,false,-2,true,true,Criminal,Exploit,Cooperate,50,40,20,100,50,100,1,100,1,100,2,100,0.03,orglogos/LosZetas,100,2,,,,,Assassinate,Unrest,Detain,,100,1,,,,,,,,,,,,,,,Escape,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeneralDirectorateforTerritorialSurveillance,General Directorate for Territorial Surveillance,Security,1,map_Morocco,false,6,true,true,Government,,,,80,,100,-3,,,100,1,100,1,,,orglogos/GeneralDirectorateforTerritorialSurveillance,100,1,100,1,100,0.01,InvestigateCouncilor,DetectCouncilActivity,Detain,,,,1973,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DirectorateofResearchandDocumentation,Directorate of Research and Documentation,Security,1,map_Morocco,false,6,true,true,Government,,,,80,,100,-2,,,100,1,100,1,,,orglogos/DirectorateofResearchandDocumentation,100,2,100,1,,,InvestigateCouncilor,DetectCouncilActivity,Detain,,,,1973,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FederalSecurityService,Federal Security Service,Investigations,3,map_Moskva,false,6,true,true,Government,Exploit,,,250,,100,-150,100,1,,,100,2,,,orglogos/FSS,100,2,100,2,100,0.04,InvestigateCouncilor,DetectCouncilActivity,Detain,Crackdown,,,,,,,,,,,,,,,,,,,,100,1,true,100,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MainIntelligenceDirectorate,Main Intelligence Directorate,Security,3,map_Moskva,false,6,true,true,Government,Exploit,,,250,,100,-50,100,2,100,3,100,2,100,0.02,orglogos/MID,100,4,100,1,,,Assassinate,Unrest,Coup,Purge,,,,,,,,,,,,,,,,,,,,100,1,true,100,6,,,,,,,,,100,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SolntsevskayaBratva,Solntsevskaya Bratva,Criminal,3,map_Moskva,false,-3,true,true,Criminal,Exploit,Cooperate,200,200,20,100,90,100,1,100,1,100,3,100,0.06,orglogos/SolntsevskayaBratva,100,2,,,,,Assassinate,,,,,,,,,,,,,,,,,,,,,,,,,true,100,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ForeignIntelligenceService,Foreign Intelligence Service,Security,2,map_Moskva,false,6,true,true,Government,Exploit,,,250,,100,-20,,,100,1,100,1,,,orglogos/FIS,100,3,100,1,,,InvestigateCouncilor,DetectCouncilActivity,Propaganda,,,,,,,,,,,,,,,,,,,,,100,1,,100,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FederalProtectiveService,Federal Protective Service,Security,2,map_Moskva,false,6,true,true,Government,,,,150,,100,-10,,,,,100,3,,,orglogos/FPS,100,1,100,1,,,InvestigateCouncilor,Protect,DefendInterests,,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BratskiKrug,Bratski Krug,Criminal,2,map_Moskva,false,-2,true,true,Criminal,Exploit,Cooperate,150,50,10,100,25,100,1,100,1,100,1,100,0.05,orglogos/BratskiKrug,100,1,,,,,Assassinate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AzeriMafia,Azeri Mafia,Criminal,1,map_Moskva,false,-1,true,true,Criminal,Exploit,Cooperate,30,20,5,100,20,,,,,100,1,100,0.02,orglogos/AzeriMafia,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoldenTriangleCartel,Golden Triangle Cartel,Criminal,3,map_Myanmar,false,-3,true,true,Criminal,Exploit,Cooperate,100,100,10,100,60,100,1,100,1,100,2,100,0.06,orglogos/GoldenTriangleCartel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mabahith,Mabahith,Security,2,map_Najd,false,4,true,true,Government,,,,125,,100,-20,,,100,1,100,2,,,orglogos/Mabahith,100,1,100,2,100,0.04,InvestigateCouncilor,DetectCouncilActivity,Coup,Purge,,,1924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlMukhabaratAlAamah,Al Mukhabarat Al Aamah,Security,1,map_Najd,false,3,true,true,Government,Destroy,,,100,,100,-5,,,100,2,100,1,,,orglogos/SaudiIntelligence,100,1,100,1,,,InvestigateCouncilor,DetectCouncilActivity,Detain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HefeiComprehensiveNationalScienceCenter,Hefei Comprehensive National Science Center,Research,3,map_Nanchang,false,5,true,true,,,,,200,,100,-150,,,,,,,,,orglogos/HefeiComprehensiveNationalScienceCenter,,,,,,,,,,,,,2017,100,20,,,,,,,,,Information,0.1,,,,,,,,,,100,3,,,100,0.02,Criminal,,,,,,100,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LaCosaNostra,La Cosa Nostra,Criminal,3,map_Naples,false,-3,true,true,Criminal,Exploit,Cooperate,80,80,5,100,45,100,1,100,1,100,2,100,0.04,orglogos/CosaNostra,100,1,,,,,Assassinate,HostileTakeover,Detain,,,,,,,,,,,,,,,,,,,,,,,true,100,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nedrangheta,Nedrangheta,Criminal,3,map_Naples,false,-3,true,true,Criminal,Exploit,Cooperate,100,80,5,100,60,100,1,100,1,100,2,100,0.05,orglogos/Nedrangheta,100,1,,,,,Assassinate,HostileTakeover,,,,,,,,,,,,,,,,,,,,,,,,true,100,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camorra,Camorra,Criminal,3,map_Naples,false,-3,true,true,Criminal,Exploit,Cooperate,120,80,10,100,40,100,1,100,1,100,1,100,0.03,orglogos/Camorra,100,1,,,,,Assassinate,,,,,,,,,,,,,,,,,,,,,,,,,true,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeneralIntelligenceandSecurityService,General Intelligence and Security Service,Security,2,map_Netherlands,false,6,true,true,Government,,,,180,,100,-8,,,100,1,100,1,,,orglogos/GeneralIntelligenceandSecurityService,100,1,100,1,,,InvestigateCouncilor,DetectCouncilActivity,DefendInterests,,,,2002,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NationalCoordinatorforCounterterrorismandSecurity,National Coordinator for Counterterrorism and Security,Security,1,map_Netherlands,false,2,true,true,Government,,,,80,,100,-5,,,,,100,1,,,orglogos/NationalCoordinatorforCounterterrorismandSecurity,,,100,2,,,InvestigateCouncilor,DetectCouncilActivity,Stabilize,,,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IntelligenceBureau,Intelligence Bureau,Security,3,map_NewDelhi,false,6,true,true,Government,,,,200,,100,-40,100,1,100,1,100,3,,,orglogos/IntelligenceBureau,100,2,100,2,,,InvestigateCouncilor,DetectCouncilActivity,,,,,1887,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ResearchandAnalysisWing,Research and Analysis Wing,Security,3,map_NewDelhi,false,6,true,true,Government,,,,200,,100,-25,,,100,2,100,1,,,orglogos/IndianResearchAnalysisWing,100,2,100,2,,,InvestigateCouncilor,DetectCouncilActivity,DefendInterests,Assassinate,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JointCipherBureau,Joint Cipher Bureau,Security,2,map_NewDelhi,false,6,true,true,Government,,,,100,,100,-10,,,100,1,100,2,,,orglogos/JointCipherBureau,,,100,1,,,InvestigateCouncilor,DetectCouncilActivity,,,,,2002,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AustralianSecretIntelligenceService,Australian Secret Intelligence Service,Security,1,map_NewSouthWales,false,3,true,true,Government,Resist,,,100,,100,-10,,,100,1,100,1,,,orglogos/ASIS,100,1,100,1,,,InvestigateCouncilor,DetectCouncilActivity,Extract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AustralianSecurityIntelligenceOrganization,Australian Security Intelligence Organization,Investigations,1,map_NewSouthWales,false,,true,true,Government,,,,100,,100,-4,,,,,100,2,,,orglogos/ASIO,100,1,100,2,,,InvestigateAlienActivity,DetectCouncilActivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AustralianSignalsDirectorate,Australian Signals Directorate,Investigations,1,map_NewSouthWales,false,,true,true,Government,,,,100,,100,-4,,,100,1,,,,,orglogos/AusSD,,,100,2,,,DetectCouncilActivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AmericanMafia,American Mafia,Criminal,3,map_NewYork,false,-3,true,true,Criminal,Exploit,Cooperate,120,120,10,100,50,100,1,,,100,1,100,0.04,orglogos/AmericanMafia,100,1,,,,,Assassinate,HostileTakeover,,,,,,,,,,,,,,,,,,,,,,,,true,100,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrookhavenNationalLaboratory,Brookhaven National Laboratory,Research,2,map_NewYork,false,5,true,true,,Cooperate,,,150,,100,-14,,,,,,,,,orglogos/BrookhavenNationalLaboratory,,,,,,,,,,,,,,100,20,,,,,,,,,Energy,0.05,,,,,,,,,,100,1,,,,,Criminal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NewZealandSecurityIntelligenceService,New Zealand Security Intelligence Service,Investigations,1,map_NewZealand,false,3,true,true,Government,,,,60,,100,-5,,,100,1,100,1,,,orglogos/NZSIS,100,1,100,1,,,InvestigateCouncilor,DetectCouncilActivity,Detain,Stabilize,,,1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JapanSocietyforthePromotionofScience,Japan Society for the Promotion of Science,Research,2,map_NorthHonshu,false,,true,true,,,,80,100,,,,,,,,,,,,orglogos/JapanSocietyforthePromotionofScience,,,,,,,,,,,,,1932,100,20,,,,,,,,,,,,,,,,,,100,1,100,2,,,100,0.02,,,,,,,100,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CabinetIntelligenceandResearchOffice,Cabinet Intelligence and Research Office,Security,2,map_NorthHonshu,false,2,true,true,Government,,,,120,,100,-2,,,100,2,100,1,,,orglogos/CIRO,100,1,100,1,,,Extract,Detain,,,100,1,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koanchosacho,Koanchosacho,Security,2,map_NorthHonshu,false,6,true,true,Government,Resist,,,200,,100,-25,,,100,1,100,1,,,orglogos/Koanchosacho,,,100,2,,,InvestigateCouncilor,DetectCouncilActivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumiyoshi-kai,Sumiyoshi-kai,Criminal,2,map_NorthHonshu,false,-2,true,true,Criminal,Exploit,Cooperate,50,50,10,100,30,100,1,100,1,100,1,100,0.03,orglogos/SumiyoshiKai,100,1,,,,,Assassinate,HostileTakeover,,,,,,,,,,,,,,,,,,,,,,50,1,,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inagawa-kai,Inagawa-kai,Criminal,2,map_NorthHonshu,false,-2,true,true,Criminal,Exploit,Cooperate,40,50,5,100,25,100,1,100,1,100,1,100,0.02,orglogos/InagawaKai,100,1,,,,,HostileTakeover,,,,,,,,,,,,,,,,,,,,,,,,,,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JapanSpecialForcesGroup,Japan Special Forces Group,Security,2,map_NorthHonshu,false,,true,true,Government,,,,150,,100,-2,,,,,100,2,,,orglogos/JapanSpecialForcesGroup,100,1,,,,,AssaultAlienAsset,Extract,,,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office39,Office 39,Criminal,2,map_NorthKorea,false,,true,true,Government,Exploit,,100,100,,100,25,100,1,100,1,,,100,0.03,orglogos/Office39,100,1,,,,,,,,,,,,,,,,,,,,,,,,Destroy,,,,,,,100,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
